,CustomerId,CustomerGender,ProductName,ProductPrice,CostOfGood,ProductCategory,CustomerCountry,CustomerContinent,OrderTime,OrderDay,OrderMonth,QuantitySold,discountPercentage,salePrice,OrderYear,ExpectedProfit,PricePerQuantity,dateOfPurchase,ProfitMade
13,4303,Female,Soap,642.0,526.44,Music,Gambia,Africa,10:40:00,11,October,5,4.0,3081.6000000000004,2019,115.55999999999995,616.32,2019-10-11,449.4000000000001
14,4269,Female,Towels,196.0,86.24,Industrial,Jordan,Asia,15:58:00,10,April,3,8.0,540.96,2020,109.76,180.32000000000002,2020-04-10,282.24000000000007
15,2822,Female,Computer,692.0,145.32000000000005,Tools,Western Sahara,Africa,13:59:00,28,July,4,5.0,2629.6,2017,546.68,657.4,2017-07-28,2048.3199999999997
16,2271,Male,Bacon,642.0,378.78,Health,"Bonaire, Saint Eustatius and Saba ",North America,22:48:00,2,February,10,8.0,5906.4,2019,263.22,590.64,2019-02-02,2118.6
17,235,Male,Sausages,570.0,290.7,Sports,United States Minor Outlying Islands,Oceania,13:44:00,25,September,3,2.0,1675.8000000000002,2016,279.3,558.6,2016-09-25,803.7000000000003
18,2209,Male,Shirt,235.0,159.8,Books,Solomon Islands,Oceania,18:37:00,6,August,7,6.0,1546.3,2017,75.19999999999999,220.9,2017-08-06,427.6999999999998
19,2854,Male,Pizza,989.0,474.72,Industrial,Czech Republic,Europe,17:53:00,8,February,10,6.0,9296.6,2020,514.28,929.6600000000001,2020-02-08,4549.4
20,3832,Female,Salad,427.0,162.26,Health,Japan,Asia,16:10:00,12,May,4,8.0,1571.36,2018,264.74,392.84,2018-05-12,922.3199999999999
21,3539,Female,Car,525.0,168.0,Movies,Peru,South America,22:58:00,1,September,5,10.0,2362.5,2019,357.0,472.5,2019-09-01,1522.5
22,3736,Female,Keyboard,317.0,259.94,Kids,Palau,Oceania,20:43:00,13,November,1,6.0,297.98,2017,57.06,297.98,2017-11-13,38.04000000000002
23,3184,Female,Tuna,4.0,3.4,Industrial,Curacao,North America,10:11:00,21,August,3,7.000000000000001,11.16,2020,0.6000000000000001,3.72,2020-08-21,0.9600000000000009
24,4654,Female,Sausages,840.0,327.6,Music,Gibraltar,Europe,16:22:00,8,December,8,4.0,6451.2,2016,512.4,806.4,2016-12-08,3830.3999999999996
25,3605,Female,Chips,90.0,63.0,Grocery,Poland,Europe,15:24:00,7,December,2,6.0,169.2,2016,27.0,84.6,2016-12-07,43.19999999999999
26,4071,Female,Hat,117.0,29.25,Tools,Maldives,Asia,19:39:00,22,February,9,9.0,958.23,2020,87.75,106.47,2020-02-22,694.98
27,2764,Female,Cheese,383.0,325.55,Sports,Papua New Guinea,Oceania,20:21:00,9,June,7,5.0,2546.9500000000003,2018,57.44999999999999,363.85,2018-06-09,268.10000000000036
28,1707,Female,Sausages,997.0,299.1,Computers,United States Minor Outlying Islands,Oceania,10:25:00,13,August,8,6.0,7497.44,2017,697.9,937.18,2017-08-13,5104.639999999999
29,1376,Female,Car,492.0,206.64,Garden,Ukraine,Europe,17:37:00,1,June,5,7.000000000000001,2287.8,2019,285.36,457.56000000000006,2019-06-01,1254.6000000000004
30,1756,Female,Gloves,117.0,37.44,Kids,Sweden,Europe,22:29:00,17,May,1,3.0,113.49,2018,79.56,113.49,2018-05-17,76.05
31,306,Male,Soap,760.0,516.8,Grocery,Kyrgyzstan,Asia,20:20:00,25,March,5,2.0,3724.0,2018,243.20000000000005,744.8,2018-03-25,1140.0
32,198,Male,Hat,745.0,171.35000000000002,Movies,Croatia,Europe,11:16:00,7,August,8,8.0,5483.2,2020,573.65,685.4,2020-08-07,4112.4
33,4346,Male,Keyboard,247.0,125.97,Industrial,Palestinian Territory,Asia,10:21:00,6,December,2,8.0,454.48,2018,121.03,227.24,2018-12-06,202.54000000000002
34,740,Female,Computer,768.0,245.76,Movies,Greenland,North America,23:13:00,26,April,1,3.0,744.96,2020,522.24,744.96,2020-04-26,499.20000000000005
35,1126,Male,Computer,996.0,617.52,Tools,Guadeloupe,North America,23:52:00,15,January,10,1.0,9860.4,2020,378.48,986.04,2020-01-15,3685.2
36,2076,Female,Bacon,202.0,56.56,Computers,Bermuda,North America,18:12:00,10,March,6,7.000000000000001,1127.16,2018,145.44,187.86,2018-03-10,787.8000000000001
37,2288,Male,Salad,314.0,160.14,Kids,Syria,Asia,20:46:00,17,April,2,7.000000000000001,584.04,2017,153.86,292.02,2017-04-17,263.76
38,839,Female,Fish,494.0,286.52,Outdoors,Rwanda,Africa,23:20:00,10,June,9,10.0,4001.4,2020,207.48000000000002,444.6,2020-06-10,1422.7200000000003
39,3086,Female,Cheese,604.0,338.24,Clothing,Israel,Asia,15:32:00,10,January,1,5.0,573.8,2019,265.76,573.8,2019-01-10,235.55999999999995
40,4192,Male,Soap,703.0,562.4,Toys,Grenada,North America,18:25:00,28,July,6,7.000000000000001,3922.74,2018,140.60000000000002,653.79,2018-07-28,548.3400000000001
41,3580,Male,Chips,137.0,72.61,Kids,Russia,Europe,15:16:00,20,August,9,10.0,1109.7,2020,64.39,123.30000000000001,2020-08-20,456.21000000000004
42,1701,Male,Chips,789.0,165.69000000000003,Garden,Syria,Asia,17:54:00,20,November,4,9.0,2871.96,2020,623.31,717.99,2020-11-20,2209.2
43,2903,Female,Pizza,135.0,93.15,Jewelery,Paraguay,South America,15:30:00,26,June,3,10.0,364.5,2020,41.849999999999994,121.5,2020-06-26,85.04999999999995
44,559,Female,Bacon,421.0,328.38,Beauty,Andorra,Europe,21:47:00,25,October,2,7.000000000000001,783.06,2016,92.62,391.53,2016-10-25,126.29999999999995
45,2997,Male,Keyboard,879.0,562.56,Automotive,Democratic Republic of the Congo,Africa,10:17:00,28,June,7,6.0,5783.82,2020,316.44000000000005,826.26,2020-06-28,1845.9
46,4120,Male,Gloves,362.0,148.42,Kids,Saint Kitts and Nevis,North America,22:59:00,10,December,5,10.0,1629.0,2017,213.58,325.8,2017-12-10,886.9000000000001
47,2126,Male,Pants,123.0,92.25,Kids,Chad,Africa,14:16:00,3,December,1,6.0,115.62,2016,30.75,115.62,2016-12-03,23.370000000000005
48,1068,Female,Gloves,128.0,43.52,Tools,Central African Republic,Africa,19:51:00,20,June,5,3.0,620.8,2016,84.47999999999999,124.16,2016-06-20,403.19999999999993
49,497,Male,Pizza,246.0,63.96000000000001,Toys,Haiti,North America,22:28:00,8,August,1,3.0,238.62,2018,182.04,238.62,2018-08-08,174.66
50,3810,Female,Chicken,768.0,368.64,Games,Niue,Oceania,19:37:00,2,July,6,4.0,4423.68,2018,399.36,737.2800000000001,2018-07-02,2211.84
51,933,Male,Keyboard,504.0,357.84000000000003,Computers,Uganda,Africa,12:29:00,16,March,6,9.0,2751.84,2017,146.15999999999997,458.64000000000004,2017-03-16,604.8000000000002
52,3889,Female,Chicken,1.0,0.74,Kids,Germany,Europe,12:41:00,29,January,3,4.0,2.88,2020,0.26,0.96,2020-01-29,0.6600000000000001
53,3349,Female,Bike,804.0,184.92,Clothing,Monaco,Europe,10:53:00,11,January,5,5.0,3819.0,2019,619.08,763.8,2019-01-11,2894.4
54,4029,Female,Bacon,258.0,147.06,Baby,Madagascar,Africa,20:12:00,3,November,3,6.0,727.5600000000001,2020,110.94,242.52,2020-11-03,286.38000000000005
55,1418,Male,Chair,727.0,152.66999999999996,Clothing,Venezuela,South America,11:45:00,13,July,5,10.0,3271.5,2018,574.33,654.3,2018-07-13,2508.15
56,3491,Male,Sausages,217.0,43.400000000000006,Electronics,Finland,Europe,11:21:00,29,December,3,10.0,585.9000000000001,2018,173.6,195.30000000000004,2018-12-29,455.70000000000005
57,1921,Female,Shirt,104.0,57.2,Books,Libya,Africa,14:27:00,10,February,9,3.0,907.92,2019,46.8,100.88,2019-02-10,393.1199999999999
58,4196,Female,Shirt,641.0,435.88,Automotive,Jamaica,North America,13:40:00,9,August,2,4.0,1230.72,2017,205.12,615.36,2017-08-09,358.96000000000004
59,2347,Female,Salad,544.0,342.72,Home,South Korea,Asia,10:10:00,9,September,8,4.0,4177.92,2019,201.27999999999997,522.24,2019-09-09,1436.1599999999999
60,1922,Male,Chair,819.0,262.08000000000004,Toys,Mauritius,Africa,22:36:00,6,December,8,5.0,6224.4,2018,556.92,778.05,2018-12-06,4127.759999999999
61,4411,Female,Chips,849.0,314.13,Health,Yemen,Asia,21:32:00,23,September,4,6.0,3192.24,2019,534.87,798.06,2019-09-23,1935.7199999999998
62,2106,Female,Shirt,669.0,481.68,Baby,Isle of Man,Europe,15:47:00,12,August,9,7.000000000000001,5599.53,2019,187.32,622.17,2019-08-12,1264.4099999999999
63,4469,Male,Bacon,384.0,122.88,Computers,Heard Island and McDonald Islands,Antarctica,15:25:00,12,February,6,3.0,2234.88,2020,261.12,372.48,2020-02-12,1497.6000000000001
64,2002,Male,Chips,614.0,485.06,Electronics,Antigua and Barbuda,North America,11:12:00,1,December,7,1.0,4255.02,2018,128.94,607.86,2018-12-01,859.6000000000004
65,1441,Female,Gloves,838.0,494.42,Sports,Montserrat,North America,10:26:00,18,April,3,2.0,2463.7200000000003,2020,343.58,821.2400000000001,2020-04-18,980.4600000000003
66,1372,Male,Chicken,559.0,469.56,Electronics,Brazil,South America,14:53:00,2,September,1,2.0,547.82,2018,89.44,547.82,2018-09-02,78.26000000000005
67,4677,Female,Ball,743.0,401.22,Health,Japan,Asia,16:30:00,18,August,7,1.0,5148.990000000001,2016,341.78,735.57,2016-08-18,2340.4500000000007
68,2906,Female,Computer,761.0,152.20000000000005,Outdoors,Burkina Faso,Africa,23:10:00,11,May,2,10.0,1369.8,2017,608.8,684.9,2017-05-11,1065.3999999999999
69,4677,Female,Gloves,740.0,266.4,Books,Afghanistan,Asia,21:24:00,20,October,10,3.0,7178.0,2016,473.6,717.8,2016-10-20,4514.0
70,1870,Male,Pizza,483.0,313.95,Movies,Hungary,Europe,11:45:00,4,December,7,8.0,3110.52,2018,169.05,444.36,2018-12-04,912.8699999999999
71,3763,Female,Mouse,128.0,62.72,Health,Svalbard and Jan Mayen,Europe,13:16:00,9,August,2,10.0,230.4,2017,65.28,115.2,2017-08-09,104.96000000000001
72,4321,Male,Shoes,566.0,260.36,Music,Cyprus,Europe,23:51:00,3,November,4,1.0,2241.36,2018,305.64,560.34,2018-11-03,1199.92
73,1596,Female,Salad,946.0,425.7000000000001,Grocery,Bahrain,Asia,15:31:00,15,February,10,8.0,8703.199999999999,2016,520.3,870.3199999999999,2016-02-15,4446.199999999998
74,1231,Male,Pizza,181.0,153.85,Electronics,Falkland Islands,South America,22:28:00,28,February,2,8.0,333.04,2019,27.150000000000006,166.52,2019-02-28,25.340000000000032
75,3920,Male,Soap,854.0,239.12,Music,Slovenia,Europe,20:39:00,29,August,6,5.0,4867.799999999999,2016,614.88,811.2999999999998,2016-08-29,3433.079999999999
76,2586,Female,Pizza,731.0,292.4,Books,Burundi,Africa,13:42:00,29,April,1,5.0,694.45,2017,438.6,694.45,2017-04-29,402.05000000000007
77,471,Male,Gloves,298.0,196.68,Books,Austria,Europe,10:33:00,16,November,10,8.0,2741.6000000000004,2020,101.32,274.16,2020-11-16,774.8000000000002
78,4032,Male,Shirt,639.0,408.96,Clothing,French Polynesia,Oceania,19:45:00,24,June,7,10.0,4025.7,2020,230.04000000000002,575.1,2020-06-24,1162.98
79,313,Female,Ball,812.0,235.48,Tools,New Zealand,Oceania,20:11:00,3,December,4,3.0,3150.56,2016,576.52,787.64,2016-12-03,2208.64
80,420,Female,Keyboard,277.0,130.19,Sports,Anguilla,North America,14:26:00,9,April,2,9.0,504.14,2020,146.81,252.07,2020-04-09,243.76
81,3962,Male,Sausages,925.0,397.75,Clothing,Puerto Rico,North America,19:48:00,3,April,1,3.0,897.25,2018,527.25,897.25,2018-04-03,499.5
82,3182,Female,Cheese,336.0,131.04,Clothing,United States Minor Outlying Islands,Oceania,10:54:00,11,June,7,8.0,2163.84,2018,204.96,309.12,2018-06-11,1246.5600000000002
83,349,Female,Chicken,835.0,450.9,Baby,Saint Barthelemy,North America,14:52:00,5,September,6,7.000000000000001,4659.299999999999,2018,384.1,776.5499999999998,2018-09-05,1953.8999999999996
84,2876,Female,Car,807.0,572.97,Outdoors,Pitcairn,Oceania,20:40:00,3,November,8,8.0,5939.52,2017,234.02999999999997,742.44,2017-11-03,1355.7600000000002
85,1266,Male,Computer,895.0,483.3,Books,Laos,Asia,10:18:00,24,June,2,2.0,1754.2,2020,411.7,877.1,2020-06-24,787.6
86,3625,Female,Ball,613.0,171.64,Outdoors,Aruba,North America,23:19:00,12,June,6,4.0,3530.88,2016,441.36,588.48,2016-06-12,2501.04
87,2390,Male,Chips,323.0,200.26,Beauty,Rwanda,Africa,11:17:00,21,November,10,8.0,2971.6000000000004,2019,122.74000000000001,297.16,2019-11-21,969.0000000000005
88,4082,Male,Chicken,860.0,705.2,Jewelery,Isle of Man,Europe,15:45:00,21,December,7,10.0,5418.0,2020,154.79999999999995,774.0,2020-12-21,481.59999999999945
89,3608,Female,Pizza,749.0,269.64,Health,Finland,Europe,18:27:00,16,August,9,3.0,6538.77,2019,479.36,726.5300000000001,2019-08-16,4112.01
90,1941,Male,Sausages,665.0,385.7,Industrial,Belarus,Europe,23:20:00,26,August,4,7.000000000000001,2473.8,2018,279.3,618.45,2018-08-26,931.0000000000002
91,1440,Female,Shirt,331.0,225.08,Games,Bolivia,South America,19:44:00,7,April,7,8.0,2131.64,2016,105.91999999999999,304.52,2016-04-07,556.0799999999997
92,2329,Male,Hat,673.0,349.96,Games,Martinique,North America,22:59:00,20,September,6,5.0,3836.1,2017,323.04,639.35,2017-09-20,1736.3400000000001
93,1583,Male,Car,863.0,319.30999999999995,Home,Central African Republic,Africa,23:46:00,23,March,7,8.0,5557.72,2020,543.69,793.96,2020-03-23,3322.5500000000006
94,1148,Male,Shirt,386.0,115.8,Baby,Nepal,Asia,22:12:00,20,June,6,6.0,2177.04,2017,270.2,362.84,2017-06-20,1482.24
95,4270,Female,Chips,851.0,527.62,Grocery,Equatorial Guinea,Africa,22:56:00,6,August,2,8.0,1565.84,2018,323.38,782.92,2018-08-06,510.5999999999999
96,1354,Male,Tuna,968.0,358.16,Computers,Belgium,Europe,11:25:00,21,July,1,8.0,890.56,2018,609.8399999999999,890.56,2018-07-21,532.3999999999999
97,2464,Female,Fish,929.0,195.09000000000003,Industrial,Germany,Europe,19:56:00,5,January,2,4.0,1783.68,2016,733.91,891.84,2016-01-05,1393.5
98,35,Male,Gloves,244.0,126.88,Clothing,Eritrea,Africa,16:55:00,2,February,10,9.0,2220.4,2018,117.12,222.04000000000002,2018-02-02,951.6000000000001
99,347,Female,Shoes,312.0,134.16,Garden,New Zealand,Oceania,20:21:00,4,September,1,1.0,308.88,2019,177.84,308.88,2019-09-04,174.72
100,2589,Female,Chair,462.0,258.72,Computers,Gibraltar,Europe,13:35:00,13,November,3,5.0,1316.6999999999998,2016,203.27999999999997,438.8999999999999,2016-11-13,540.5399999999997
101,3483,Male,Fish,977.0,429.88,Automotive,South Korea,Asia,11:32:00,23,October,9,8.0,8089.56,2019,547.12,898.84,2019-10-23,4220.64
102,2847,Female,Towels,64.0,53.12,Movies,Northern Mariana Islands,Oceania,20:40:00,20,July,10,1.0,633.6,2017,10.880000000000003,63.36,2017-07-20,102.40000000000009
103,4638,Female,Salad,542.0,124.66000000000004,Health,Belize,North America,17:32:00,22,December,2,7.000000000000001,1008.12,2016,417.34,504.06,2016-12-22,758.8
104,4166,Female,Keyboard,405.0,210.6,Shoes,Indonesia,Asia,17:54:00,28,January,1,9.0,368.55,2016,194.4,368.55,2016-01-28,157.95000000000002
105,2751,Male,Pants,19.0,12.54,Music,Costa Rica,North America,15:43:00,24,November,10,2.0,186.2,2020,6.460000000000001,18.619999999999997,2020-11-24,60.8
106,2600,Female,Bike,165.0,37.95,Kids,Tonga,Oceania,13:29:00,9,August,7,6.0,1085.7,2016,127.05,155.1,2016-08-09,820.05
107,4649,Male,Cheese,195.0,99.45,Kids,U.S. Virgin Islands,North America,12:28:00,17,June,1,1.0,193.05,2016,95.55,193.05,2016-06-17,93.60000000000001
108,3667,Female,Pizza,966.0,463.68,Movies,El Salvador,North America,14:31:00,26,June,1,5.0,917.7,2018,502.32,917.7,2018-06-26,454.02000000000004
109,2750,Male,Ball,429.0,214.5,Baby,Vietnam,Asia,14:44:00,18,May,8,5.0,3260.4,2018,214.5,407.55,2018-05-18,1544.4
110,4397,Female,Pants,170.0,34.0,Home,Israel,Asia,19:39:00,30,April,1,2.0,166.6,2020,136.0,166.6,2020-04-30,132.6
111,181,Male,Mouse,644.0,167.44,Sports,Malta,Europe,15:21:00,8,April,1,4.0,618.24,2019,476.56,618.24,2019-04-08,450.8
112,2982,Female,Table,404.0,327.24,Electronics,Dominican Republic,North America,15:25:00,10,December,5,3.0,1959.4,2017,76.75999999999999,391.88,2017-12-10,323.20000000000005
113,871,Female,Keyboard,177.0,120.36,Books,Malawi,Africa,15:46:00,30,October,4,7.000000000000001,658.44,2019,56.64,164.61,2019-10-30,177.00000000000006
114,300,Female,Mouse,103.0,70.03999999999999,Music,Cambodia,Asia,12:43:00,15,March,3,6.0,290.46,2017,32.96000000000001,96.82,2017-03-15,80.34
115,1388,Female,Tuna,43.0,19.78,Clothing,Senegal,Africa,18:24:00,9,October,3,5.0,122.55,2019,23.22,40.85,2019-10-09,63.209999999999994
116,1125,Male,Keyboard,818.0,392.64,Garden,Nepal,Asia,23:18:00,13,August,7,7.000000000000001,5325.18,2017,425.36,760.74,2017-08-13,2576.7000000000003
117,2428,Male,Fish,470.0,352.5,Garden,Reunion,Africa,23:55:00,19,November,7,10.0,2961.0,2020,117.5,423.0,2020-11-19,493.5
118,3973,Female,Bacon,748.0,426.36,Computers,Anguilla,North America,10:36:00,17,April,3,4.0,2154.24,2018,321.64,718.0799999999999,2018-04-17,875.1599999999999
119,227,Male,Cheese,634.0,437.46,Jewelery,Curacao,North America,16:39:00,11,April,3,7.000000000000001,1768.86,2020,196.54000000000002,589.62,2020-04-11,456.48
120,2359,Female,Computer,468.0,299.52,Clothing,Turks and Caicos Islands,North America,10:22:00,7,September,1,7.000000000000001,435.24,2018,168.48000000000002,435.24,2018-09-07,135.72000000000003
121,3772,Male,Shoes,153.0,116.28,Movies,Serbia,Europe,16:50:00,15,April,7,10.0,963.9,2019,36.72,137.7,2019-04-15,149.93999999999994
122,2679,Female,Gloves,257.0,215.88,Computers,Nauru,Oceania,17:25:00,25,March,6,5.0,1464.9,2016,41.120000000000005,244.15,2016-03-25,169.62000000000012
123,3007,Female,Shoes,336.0,100.8,Kids,North Korea,Asia,15:36:00,6,March,9,2.0,2963.5199999999995,2017,235.2,329.28,2017-03-06,2056.3199999999997
124,300,Male,Ball,443.0,248.08,Health,Mauritania,Africa,11:13:00,28,February,5,2.0,2170.7,2016,194.92,434.14,2016-02-28,930.2999999999997
125,1096,Female,Table,866.0,623.52,Automotive,Oman,Asia,12:42:00,3,August,9,3.0,7560.18,2020,242.48000000000002,840.02,2020-08-03,1948.5
126,1449,Male,Gloves,981.0,716.13,Music,Liechtenstein,Europe,11:16:00,26,December,3,4.0,2825.28,2016,264.87,941.7600000000001,2016-12-26,676.8900000000003
127,1932,Male,Hat,655.0,150.64999999999998,Jewelery,Eritrea,Africa,12:43:00,1,December,2,5.0,1244.5,2016,504.35,622.25,2016-12-01,943.2
128,1766,Female,Hat,387.0,216.72,Industrial,U.S. Virgin Islands,North America,15:30:00,24,April,9,1.0,3448.17,2019,170.28,383.13,2019-04-24,1497.69
129,3246,Male,Soap,980.0,264.6,Books,Barbados,North America,10:14:00,8,February,6,5.0,5586.0,2018,715.4,931.0,2018-02-08,3998.3999999999996
130,4477,Female,Table,536.0,144.72000000000003,Sports,Tajikistan,Asia,11:49:00,16,November,9,8.0,4438.08,2018,391.28,493.12,2018-11-16,3135.5999999999995
131,3312,Male,Shoes,226.0,63.28,Outdoors,Georgia,Asia,12:34:00,10,January,4,8.0,831.68,2018,162.72,207.92,2018-01-10,578.56
132,2974,Female,Computer,959.0,776.79,Books,Malta,Europe,16:50:00,16,July,3,1.0,2848.23,2019,182.21000000000004,949.41,2019-07-16,517.8600000000001
133,3327,Female,Mouse,891.0,258.39,Garden,British Virgin Islands,North America,23:30:00,26,July,9,9.0,7297.289999999999,2017,632.61,810.81,2017-07-26,4971.779999999999
134,381,Female,Chair,378.0,238.14,Movies,Vanuatu,Oceania,14:54:00,26,February,1,6.0,355.32,2017,139.86,355.32,2017-02-26,117.18
135,484,Male,Chicken,160.0,83.2,Jewelery,Antigua and Barbuda,North America,13:12:00,30,March,5,1.0,792.0,2020,76.8,158.4,2020-03-30,376.0
136,630,Female,Car,24.0,18.24,Books,Greenland,North America,16:50:00,26,July,9,2.0,211.68,2017,5.760000000000002,23.52,2017-07-26,47.52000000000001
137,866,Female,Hat,992.0,486.08,Toys,Tajikistan,Asia,11:25:00,3,June,9,1.0,8838.720000000001,2019,505.92,982.0800000000002,2019-06-03,4464.000000000001
138,2853,Female,Pizza,622.0,180.38,Computers,Macao,Asia,12:22:00,29,December,5,1.0,3078.9,2018,441.62,615.78,2018-12-29,2177.0
139,4557,Female,Cheese,642.0,346.68,Shoes,Dominica,North America,18:36:00,24,November,4,3.0,2490.96,2020,295.32,622.74,2020-11-24,1104.24
140,2840,Male,Bike,952.0,694.96,Grocery,Guadeloupe,North America,16:19:00,4,January,1,1.0,942.48,2018,257.03999999999996,942.48,2018-01-04,247.51999999999998
141,4069,Female,Sausages,412.0,222.48,Tools,Mauritania,Africa,20:45:00,14,June,9,10.0,3337.2000000000003,2019,189.52,370.8,2019-06-14,1334.8800000000003
142,3042,Female,Shirt,625.0,243.75,Movies,Japan,Asia,15:38:00,17,November,8,5.0,4750.0,2020,381.25,593.75,2020-11-17,2800.0
143,1080,Female,Mouse,684.0,506.16,Games,Finland,Europe,21:51:00,13,May,8,5.0,5198.4,2019,177.83999999999997,649.8,2019-05-13,1149.1199999999994
144,3021,Male,Towels,401.0,112.27999999999996,Grocery,Saint Barthelemy,North America,19:29:00,15,May,8,9.0,2919.28,2019,288.72,364.91,2019-05-15,2021.0400000000004
145,3515,Female,Ball,709.0,397.04,Health,Eritrea,Africa,15:44:00,4,September,1,5.0,673.55,2020,311.96,673.55,2020-09-04,276.50999999999993
146,2673,Male,Computer,134.0,81.74000000000001,Sports,Guinea-Bissau,Africa,21:25:00,14,May,5,1.0,663.3,2016,52.25999999999999,132.66,2016-05-14,254.5999999999999
147,3266,Female,Pants,872.0,244.16,Movies,Madagascar,Africa,17:46:00,1,June,6,6.0,4918.08,2017,627.84,819.68,2017-06-01,3453.12
148,955,Female,Car,545.0,190.75,Home,New Caledonia,Oceania,23:53:00,18,April,4,8.0,2005.6,2020,354.25,501.4,2020-04-18,1242.6
149,1591,Female,Cheese,101.0,72.72,Games,Belize,North America,12:30:00,4,February,1,5.0,95.95,2016,28.28,95.95,2016-02-04,23.230000000000004
150,2720,Female,Soap,232.0,48.72,Industrial,Bahamas,North America,23:40:00,21,June,9,8.0,1920.96,2016,183.28,213.44,2016-06-21,1482.48
151,1007,Male,Fish,267.0,160.2,Garden,New Zealand,Oceania,13:25:00,8,July,10,10.0,2403.0,2020,106.80000000000001,240.3,2020-07-08,801.0
152,4641,Male,Chicken,507.0,268.71000000000004,Music,Fiji,Oceania,19:52:00,8,December,10,2.0,4968.6,2016,238.28999999999996,496.86,2016-12-08,2281.5
153,2796,Male,Gloves,337.0,124.69,Toys,Israel,Asia,21:51:00,7,August,10,1.0,3336.3,2017,212.31,333.63,2017-08-07,2089.4
154,1867,Male,Shirt,929.0,287.99,Automotive,Micronesia,Oceania,21:28:00,25,December,3,5.0,2647.65,2020,641.01,882.5500000000001,2020-12-25,1783.68
155,2243,Male,Chicken,42.0,12.6,Sports,Bhutan,Asia,12:40:00,4,August,7,9.0,267.54,2018,29.4,38.220000000000006,2018-08-04,179.34000000000003
156,2177,Female,Towels,286.0,237.38,Computers,Qatar,Asia,18:24:00,9,March,5,5.0,1358.5,2016,48.620000000000005,271.7,2016-03-09,171.5999999999999
157,2618,Male,Pants,224.0,172.48,Computers,Laos,Asia,14:17:00,23,April,10,7.000000000000001,2083.2,2020,51.52000000000001,208.32,2020-04-23,358.39999999999986
158,4482,Male,Towels,770.0,569.8,Home,Nigeria,Africa,14:24:00,4,September,7,6.0,5066.599999999999,2018,200.20000000000005,723.8,2018-09-04,1078.0
159,1449,Female,Pizza,169.0,113.23,Shoes,Chad,Africa,18:45:00,13,November,3,9.0,461.37,2019,55.769999999999996,153.79,2019-11-13,121.68
160,902,Male,Ball,391.0,297.16,Toys,Hong Kong,Asia,20:23:00,23,September,10,8.0,3597.2000000000003,2018,93.83999999999997,359.72,2018-09-23,625.5999999999999
161,2418,Female,Sausages,122.0,81.74000000000001,Shoes,Japan,Asia,17:15:00,3,June,5,10.0,549.0,2017,40.25999999999999,109.8,2017-06-03,140.29999999999995
162,3739,Female,Pizza,435.0,261.0,Baby,French Southern Territories,Antarctica,15:54:00,17,June,3,10.0,1174.5,2018,174.0,391.5,2018-06-17,391.5
163,3253,Male,Table,929.0,538.8199999999999,Industrial,Sao Tome and Principe,Africa,21:23:00,20,July,10,3.0,9011.3,2020,390.18000000000006,901.1299999999999,2020-07-20,3623.1000000000004
