,CustomerId,firstPurchaseDate,lastPurchaseDate,countOfPurchases,totalPurchaseValue,totalQtyPurchased,customerProfit,daysSinceLastPurchase,periodOfExistence,firstPurchaseYear,avgorderValue,customerValue,customerLifetimeValue
21,23,2016-07-21,2017-12-04,2,1624.88,2,408.88,1122,501,2016,812.44,115546.40708688245,47244614.9296845
22,24,2019-10-17,2019-10-17,1,5989.2,8,1803.2,440,0,2019,5989.2,851792.7986371377,1535952774.502487
23,25,2016-02-02,2019-11-09,4,11496.42,26,6830.360000000001,417,1376,2016,2874.105,408759.4238841567,2791974018.5213885
24,26,2016-05-06,2020-06-24,3,14376.369999999999,18,7776.8,189,1510,2016,4792.123333333333,681542.8012947188,5300222057.108768
25,27,2017-11-27,2020-12-21,5,14278.42,27,3673.4900000000007,9,1120,2017,2855.684,406139.56227597955,1491949620.6251884
26,28,2017-06-05,2020-12-29,4,10676.34,27,5593.98,1,1303,2017,2669.085,379601.17911413964,2123481403.9409146
27,29,2016-02-28,2018-03-03,3,2723.69,18,1271.88,1033,734,2016,907.8966666666666,129122.39407155022,164228190.5717233
28,30,2018-01-27,2019-11-19,4,11773.59,18,7589.599999999999,407,661,2018,2943.3975,418614.3047529812,3177115127.3532257
29,31,2019-02-27,2019-02-27,1,5156.52,6,1382.1600000000008,672,0,2019,5156.52,733367.8290971039,1013631678.6648537
30,32,2016-02-09,2020-12-01,3,4153.22,10,2433.4,29,1757,2016,1384.4066666666668,196892.34439522994,479117830.8513526
31,33,2020-11-30,2020-11-30,1,6880.5,10,2919.0,30,0,2020,6880.5,978554.7904599657,2856401433.3526397
32,34,2017-04-24,2020-06-25,3,3720.31,21,1261.9499999999998,188,1158,2017,1240.1033333333332,176369.3129131175,222569254.4307086
33,35,2017-07-18,2019-07-30,4,6841.620000000001,19,2220.56,519,742,2017,1710.4050000000002,243256.30497444634,540165220.5740565
34,36,2019-03-17,2020-05-28,2,6287.76,14,3192.4800000000005,216,438,2019,3143.88,447127.21962521283,1427444706.1090996
35,37,2019-02-10,2019-09-16,2,5928.45,14,2892.97,471,218,2019,2964.225,421576.4223168653,1219607942.4700217
36,38,2018-07-25,2020-09-09,5,18894.96,40,5241.620000000001,112,777,2018,3778.9919999999997,537453.7787529812,2817128475.787202
37,39,2018-04-02,2020-12-03,6,16621.37,32,8571.07,27,976,2018,2770.228333333333,393985.93216354336,3376881003.5889816
38,40,2017-07-07,2019-02-08,3,6793.06,13,3556.03,691,581,2017,2264.3533333333335,322039.6485178875,1145182651.3190637
39,41,2017-02-03,2020-10-05,4,4762.25,16,2133.16,86,1340,2017,1190.5625,169323.54301533216,361194209.0185859
40,43,2018-05-12,2018-05-12,1,1501.44,8,750.72,963,0,2018,1501.44,213536.99652470183,160306494.03102416
41,44,2018-03-16,2019-04-02,2,1799.68,14,1215.52,638,382,2018,899.84,127976.56313458261,155558072.02134785
42,45,2019-04-10,2020-07-28,2,8707.36,12,4821.28,155,475,2019,4353.68,619186.7480749573,2985272684.75883
43,46,2017-12-19,2018-07-29,3,9421.18,12,2893.1,885,222,2017,3140.3933333333334,446631.3407836456,1292149132.021165
44,47,2017-09-03,2020-11-02,3,4322.99,10,3094.97,58,1156,2017,1440.9966666666667,204940.6571039182,634285185.5169137
45,48,2018-03-12,2020-01-09,4,4918.6,15,1555.8500000000001,356,668,2018,1229.65,174882.62453151617,272091131.37735945
46,49,2017-05-09,2020-05-30,3,1769.5800000000002,7,641.48,214,1117,2017,589.86,83890.75339011924,53814240.48469369
47,50,2016-02-11,2020-08-16,4,6786.04,14,4231.469999999999,136,1648,2016,1696.51,241280.1377172061,1020969664.3462259
48,51,2016-02-09,2017-08-26,5,28100.38,43,14236.44,1222,564,2016,5620.076,799295.4425621803,11379121610.309927
49,52,2016-02-20,2019-04-09,3,5206.62,15,2312.33,631,1144,2016,1735.54,246831.04149914815,570754822.1897253
50,53,2017-04-27,2019-07-16,4,12794.78,31,5977.86,533,810,2017,3198.695,454923.08923339006,2719466538.204713
51,54,2017-10-30,2018-06-13,3,9614.4,18,5357.7300000000005,931,226,2017,3204.7999999999997,455791.35127768305,2442006996.480981
52,55,2016-04-24,2020-08-06,4,9045.2,27,4859.22,146,1565,2016,2261.3,321605.3989778534,1562751386.8211648
53,56,2016-03-02,2019-12-23,5,6738.6900000000005,17,4212.2300000000005,373,1391,2016,1347.738,191677.2728994889,807388759.2254142
54,57,2016-07-03,2018-10-16,4,23347.52,34,12776.74,806,835,2016,5836.88,830129.6250766608,10606350385.901974
55,58,2016-07-14,2020-11-16,4,21666.5,24,12086.699999999999,44,1586,2016,5416.625,770360.3432708686,9311114361.012007
56,59,2016-07-27,2020-11-22,4,6921.0199999999995,20,3879.3399999999997,38,1579,2016,1730.2549999999999,246079.401056218,954625663.6934286
57,61,2016-11-25,2016-11-25,1,1739.5,5,550.25,1496,0,2016,1739.5,247394.23850085173,136128679.73509365
58,62,2017-09-26,2017-10-30,2,8389.35,15,5125.740000000001,1157,34,2017,4194.675,596572.8240204429,3057877186.9945455
59,63,2018-03-20,2020-04-26,5,19887.04,29,5234.089999999999,248,768,2018,3977.4080000000004,565672.792967632,2960782308.943952
60,64,2017-11-03,2019-12-08,2,7779.6,12,2887.8,388,765,2017,3889.8,553213.0548551958,1597568659.8108346
61,65,2016-07-29,2017-05-21,2,1154.3999999999999,14,795.78,1319,296,2016,577.1999999999999,82090.2296422487,65325762.94470867
62,66,2016-10-08,2019-04-27,2,7565.709999999999,16,4017.079999999999,613,931,2016,3782.8549999999996,538003.1802725722,2161201815.4093437
63,67,2016-08-12,2019-03-17,2,458.96000000000004,8,119.58000000000001,654,947,2016,229.48000000000002,32636.981805792162,3902730.284336627
64,68,2016-02-19,2019-03-14,3,10315.9,20,3808.64,657,1119,2016,3438.633333333333,489047.4705281089,1862605758.1521766
65,69,2017-12-17,2020-05-18,4,7646.969999999999,25,2943.15,226,883,2017,1911.7424999999998,271890.8191993185,800215464.5264742
66,70,2016-04-21,2019-07-03,5,16464.84,29,8577.1,546,1168,2016,3292.968,468330.7334105621,4016919533.5357323
67,71,2016-10-28,2019-06-09,5,11721.28,29,3078.3900000000012,570,954,2016,2344.2560000000003,333403.522834753,1026346070.6592757
68,72,2016-07-28,2019-11-27,3,16322.76,29,6936.21,399,1217,2016,5440.92,773815.6137649061,5367347598.352279
69,73,2016-04-12,2020-01-11,4,13455.779999999999,24,6058.4,354,1369,2016,3363.9449999999997,478425.1863373082,2898491148.9059477
70,74,2017-08-19,2020-11-26,3,4868.08,16,2887.94,34,1195,2017,1622.6933333333334,230781.82323679724,666484058.5984762
71,75,2016-02-04,2020-04-14,4,6678.88,12,3007.8399999999992,260,1531,2016,1669.72,237470.02466780235,714271838.9968024
72,76,2016-04-28,2020-11-18,5,14020.099999999999,37,6734.259999999998,42,1665,2016,2804.0199999999995,398791.83250425884,2685567885.9601297
73,77,2016-06-30,2020-09-09,3,5064.03,12,1857.46,112,1532,2016,1688.01,240071.25526405446,445922753.8027706
74,78,2017-11-10,2020-06-28,5,14111.9,21,7003.09,185,961,2017,2822.38,401403.0186030664,2811061465.5489483
75,79,2017-11-06,2020-12-03,3,4730.84,16,1593.16,27,1123,2017,1576.9466666666667,224275.66528109025,357307018.8992218
76,80,2016-03-10,2020-06-09,3,13089.490000000002,22,7510.970000000001,204,1552,2016,4363.163333333334,620535.4816354343,4660823386.499299
77,81,2017-05-14,2020-04-18,2,2556.63,5,1781.79,256,1070,2017,1278.315,181803.83212947188,323936250.0499717
78,82,2016-11-23,2020-10-01,2,10714.3,20,4635.5,90,1408,2016,5357.15,761901.7216354342,3531795430.641055
79,83,2017-09-03,2020-02-16,5,17484.86,28,11163.0,318,896,2017,3496.972,497344.48117206123,5551856443.32372
80,84,2016-07-13,2020-11-23,4,13508.58,22,7319.280000000001,37,1594,2016,3377.145,480302.5096763202,3515468553.023697
81,85,2016-06-30,2019-10-11,4,14714.25,24,6662.41,446,1198,2016,3678.5625,523170.5481260647,3485576691.5405746
82,86,2018-02-04,2019-03-09,2,7273.65,15,2973.7499999999995,662,398,2018,3636.825,517234.5797274275,1538126331.4644372
83,87,2016-03-20,2018-07-21,3,14642.16,20,4274.12,893,853,2016,4880.72,694143.1490289607,2966851116.1276617
84,88,2018-01-14,2018-01-14,1,1398.74,7,850.78,1081,0,2018,1398.74,198930.85206132877,169246390.3167373
85,89,2016-10-08,2019-06-25,3,11177.880000000001,17,3791.96,554,990,2016,3725.9600000000005,529911.4900170357,2009403173.684999
86,90,2016-12-09,2020-12-22,7,29697.14,51,11564.94,8,1474,2016,4242.448571428571,603367.2513409586,6977906059.723106
87,91,2016-06-20,2016-06-20,1,2662.08,3,708.0,1654,0,2016,2662.08,378604.91775127756,268052281.76790452
88,92,2019-09-11,2019-09-11,1,2097.6000000000004,6,1324.8000000000002,476,0,2019,2097.6000000000004,298323.74514480407,395219297.56783646
89,93,2020-09-19,2020-09-19,1,393.6,10,180.40000000000003,102,0,2020,393.6,55978.36865417376,10098497.705212949
90,94,2018-02-02,2018-08-04,2,7127.76,17,5205.76,879,183,2018,3563.88,506860.2349574105,2638592736.7318892
91,95,2016-12-08,2018-01-11,5,7999.620000000001,21,4491.18,1084,399,2016,1599.9240000000002,227543.53529131174,1021938974.8296335
92,96,2016-05-20,2020-09-10,5,11076.48,21,5116.740000000001,111,1574,2016,2215.296,315062.6426984667,1612093626.4009528
93,97,2020-08-29,2020-08-29,1,4104.0,9,2764.8,123,0,2020,4104.0,583676.8926746167,1613749872.8667803
94,98,2016-07-08,2018-05-03,3,8495.46,25,4220.42,972,664,2016,2831.8199999999997,402745.58923339,1699755539.7123837
95,99,2016-04-29,2020-01-05,5,8506.79,24,3315.82,360,1346,2016,1701.3580000000002,241969.62737989775,802327729.8588126
96,100,2017-09-26,2017-09-26,1,2393.82,3,1692.6,1191,0,2017,2393.82,340452.5875298126,576250049.6529608
97,101,2016-07-16,2020-02-14,6,13645.92,32,6229.31,320,1308,2016,2274.32,323457.1224531516,2014914687.468642
98,102,2020-09-13,2020-09-13,1,775.1999999999999,6,497.75999999999993,108,0,2020,775.1999999999999,110250.07972742757,54878079.68512434
99,103,2016-10-14,2016-10-14,1,3290.4,8,1389.2800000000002,1538,0,2016,3290.4,467965.50868824526,650135121.9104055
100,104,2017-09-28,2019-01-03,3,16371.25,28,9823.119999999999,727,462,2017,5457.083333333333,776114.3867120952,7623864754.399316
101,105,2017-11-27,2020-10-23,4,10766.81,24,5231.9800000000005,68,1061,2017,2691.7025,382817.87310051103,2002895455.704412
102,106,2016-07-27,2019-09-29,5,3211.29,15,1155.3400000000001,458,1159,2016,642.258,91342.87371720611,105532075.72043692
103,107,2018-11-17,2020-10-20,2,10527.36,16,5563.88,71,703,2018,5263.68,748608.2812947187,4165166644.1300597
104,108,2017-06-09,2017-06-09,1,926.38,2,478.46,1300,0,2017,926.38,131751.1208177172,63037641.266444966
105,109,2017-03-09,2019-12-04,2,2747.16,8,1489.04,392,1000,2017,1373.58,195352.55999999994,290887775.9423999
106,110,2018-04-03,2019-12-06,4,5847.54,21,2496.86,390,612,2018,1461.885,207911.4264735945,519125724.3048592
107,111,2017-02-14,2019-02-02,3,5596.820000000001,16,3453.1000000000004,697,718,2017,1865.6066666666668,265329.31339011923,916208652.0674208
108,112,2016-03-11,2019-05-12,3,10873.82,19,4716.76,598,1157,2016,3624.6066666666666,515496.8704599658,2431475018.710748
109,113,2017-04-30,2019-09-16,2,823.0799999999999,5,160.0399999999999,471,869,2017,411.53999999999996,58529.82173764904,9367112.670893347
110,114,2016-07-06,2020-02-27,6,13292.54,28,4910.280000000001,307,1331,2016,2215.4233333333336,315080.75223168655,1547134716.068206
111,115,2017-02-03,2019-10-03,3,10966.5,14,5332.0,454,972,2017,3655.5,519890.56558773416,2772056495.7137985
112,116,2016-04-04,2016-12-07,2,12928.939999999999,18,2364.7,1484,247,2016,6464.469999999999,919386.3943441224,2174073006.705546
113,117,2017-11-30,2020-06-10,3,3461.75,14,1122.1299999999999,203,923,2017,1153.9166666666667,164111.71890971038,184154683.1401533
114,118,2017-07-09,2020-12-07,4,4854.44,11,2198.26,23,1247,2017,1213.61,172601.3922316865,379422736.4872272
115,119,2016-04-14,2020-05-15,4,10410.47,27,3955.04,229,1492,2016,2602.6175,370148.07388415665,1463950438.134795
116,120,2016-01-21,2020-06-25,5,5110.08,25,2266.3900000000003,188,1617,2016,1022.016,145352.61285178873,329425708.2411655
117,121,2016-02-20,2020-03-27,3,7153.86,13,952.0,278,1497,2016,2384.62,339144.1500511072,322865230.8486541
118,122,2016-02-10,2020-10-22,6,15158.46,35,9386.310000000001,69,1716,2016,2526.41,359309.731584327,3372592526.667285
119,123,2018-07-27,2018-07-27,1,5754.150000000001,9,3513.0600000000004,887,0,2018,5754.150000000001,818363.6432708688,2874960580.6291585
120,124,2016-02-13,2020-08-11,7,18608.45,41,6880.489999999999,141,1641,2016,2658.35,378074.43168654165,2601337346.4749327
121,125,2016-04-27,2020-11-04,7,18669.02,43,9516.98,56,1652,2016,2667.002857142857,379305.0537064978,3609838610.0236654
122,126,2016-06-26,2019-05-27,3,4370.33,12,2963.84,583,1065,2016,1456.7766666666666,207184.9118228279,614062929.0569704
123,127,2016-02-20,2020-12-30,4,2603.73,8,1228.42,0,1775,2016,650.9325,92576.57381601361,113722914.80706744
124,128,2020-03-09,2020-03-09,1,2868.32,4,977.12,296,0,2020,2868.32,407936.6727086882,398603081.6371134
125,129,2016-04-14,2020-08-10,5,19121.58,30,9700.08,142,1579,2016,3824.3160000000003,543899.8244361158,5275871809.016278
126,130,2018-12-18,2018-12-18,1,3629.0,4,1146.0,743,0,2018,3629.0,516121.69676320266,591475464.4906303
127,131,2016-07-03,2020-11-11,5,15721.140000000001,25,8384.300000000001,49,1592,2016,3144.228,447176.71269505954,3749263712.2491884
128,133,2016-02-28,2019-03-08,4,11775.49,28,4426.25,663,1104,2016,2943.8725,418681.8599488926,1853190582.5987859
129,134,2018-07-24,2020-06-11,4,6425.1,15,4293.370000000001,202,688,2018,1606.275,228446.7838160136,980806568.2321585
130,135,2018-03-10,2019-07-15,3,14645.189999999999,18,5105.249999999999,534,492,2018,4881.73,694286.7927086881,3544507648.476029
131,136,2016-05-15,2019-07-28,4,8901.73,13,4241.5599999999995,521,1169,2016,2225.4325,316504.2705792163,1342471853.9179804
132,137,2019-09-25,2020-03-24,2,1306.25,9,327.27,281,181,2019,653.125,92888.39437819419,30399584.828151613
133,138,2016-02-28,2019-11-11,5,17755.4,28,6551.51,415,1352,2016,3551.0800000000004,505039.80020442925,3308773301.43732
134,139,2016-07-14,2018-01-20,4,5507.0199999999995,10,3723.64,1075,555,2016,1376.7549999999999,195804.11315161834,729104027.895892
135,140,2016-01-29,2020-08-15,5,5828.28,15,4056.16,137,1660,2016,1165.656,165781.3040954003,672435494.4195988
136,141,2016-06-03,2020-01-18,5,14583.0,26,3539.63,347,1324,2016,2916.6,414803.1250425894,1468249585.4945006
137,142,2016-07-24,2019-07-19,4,20512.82,30,7481.129999999999,530,1090,2016,5128.205,729340.8283134581,5456293550.92066
138,143,2018-12-22,2020-12-14,3,8472.36,20,1668.5499999999993,16,723,2018,2824.1200000000003,401650.4839522998,670173914.9986095
139,144,2016-10-16,2019-06-10,7,16083.43,31,9235.960000000001,569,967,2016,2297.632857142857,326772.7111511316,3018059689.283406
140,145,2016-10-24,2019-04-25,5,21215.53,27,7839.449999999999,615,913,2016,4243.106,603460.7517955706,4730800390.663785
141,146,2017-09-10,2020-12-25,3,10443.69,17,5123.66,5,1202,2017,3481.23,495105.63086882443,2536752916.657361
142,147,2016-09-18,2018-05-08,5,10697.89,20,6344.91,967,597,2016,2139.578,304293.91780579207,1930717522.0251482
143,148,2017-06-28,2020-09-09,4,13390.25,25,7541.67,112,1169,2017,3347.5625,476095.24318568985,3590553212.6762214
144,149,2016-10-27,2019-06-03,6,12342.57,24,5190.579999999999,576,949,2016,2057.095,292563.0647018738,1518571992.380252
145,150,2020-12-28,2020-12-28,1,2815.8,3,296.40000000000055,2,0,2020,2815.8,400467.20136286196,118698478.4839525
146,151,2017-09-15,2020-06-07,3,2980.8700000000003,10,1781.45,206,996,2017,993.6233333333334,141314.56620102216,251744833.95881093
147,152,2016-04-20,2017-08-28,5,19379.79,28,6084.21,1220,495,2016,3875.958,551244.4253356047,3353886845.0711393
148,153,2016-06-12,2020-03-16,7,16495.19,37,11350.9,289,1373,2016,2356.4557142857143,335138.5840739839,3804124553.9653835
149,154,2017-04-01,2020-08-07,6,10826.460000000001,29,4059.5900000000006,145,1224,2017,1804.41,256625.8337989778,1041795668.6319925
150,155,2016-09-12,2018-03-22,2,2129.7,17,1273.5,1014,556,2016,1064.85,151444.52708688242,192864605.24514475
151,156,2016-07-21,2020-06-30,4,5377.88,20,3232.88,183,1440,2016,1344.47,191212.49315161837,618167044.8600041
152,157,2017-02-21,2020-10-19,7,19169.86,28,7559.030000000001,72,1336,2017,2738.5514285714285,389480.79635921144,2944097024.1031704
153,158,2016-07-22,2020-05-08,3,6174.1,16,3225.0,236,1386,2016,2058.0333333333333,292696.5158432708,943946263.5945483
154,159,2016-04-08,2020-07-06,4,11986.24,24,5221.4,177,1550,2016,2996.56,426175.15339011914,2225230945.911168
155,160,2017-05-01,2020-12-11,6,23208.55,46,10546.78,19,1320,2017,3868.0916666666667,550125.6638841566,5802054349.340146
156,161,2018-06-06,2020-10-05,2,7351.12,9,2631.16,86,852,2018,3675.56,522743.528177172,1375421861.5986478
157,162,2016-02-16,2019-08-23,7,21963.35,36,5579.250000000001,495,1284,2016,3137.621428571428,446237.11642735446,2489668431.8273177
158,163,2016-10-11,2019-09-20,2,6767.3099999999995,11,999.8200000000002,467,1074,2016,3383.6549999999997,481228.3714139692,481141750.3071148
159,164,2016-06-16,2020-04-04,5,12221.4,27,4288.280000000001,270,1388,2016,2444.2799999999997,347629.08265758085,1490730842.578851
160,165,2017-08-07,2019-12-15,6,25617.31,41,15434.279999999999,381,860,2017,4269.551666666667,607221.893253833,9372032722.60977
161,166,2018-09-13,2018-09-13,1,133.0,4,47.6,839,0,2018,133.0,18915.45485519591,900375.6511073253
162,167,2016-03-17,2020-11-20,7,11905.16,27,4333.719999999999,40,1709,2016,1700.7371428571428,241881.32816743728,1048245949.5057862
163,168,2016-03-30,2018-07-09,4,5754.84,9,2286.51,905,831,2016,1438.71,204615.4440204429,467855258.90718293
164,169,2017-02-25,2017-05-05,2,10509.3,15,4858.749999999999,1335,69,2017,5254.65,747324.0214650765,3631060589.29344
165,170,2017-06-03,2018-07-03,2,4001.9,6,901.3600000000004,911,395,2017,2000.95,284578.04054514476,256507262.6257718
166,171,2016-02-23,2020-05-19,6,18350.14,35,7565.619999999999,225,1547,2016,3058.3566666666666,434963.9658603065,3290772079.3920517
167,172,2017-04-11,2020-08-15,7,12157.75,29,6808.700000000001,137,1222,2017,1736.8214285714287,247013.28814796786,1681839375.013069
168,173,2017-04-07,2019-11-28,3,9910.08,16,1828.8600000000001,398,965,2017,3303.36,469808.6988756388,859214337.0257008
169,175,2018-01-08,2020-02-12,2,9230.68,17,5756.719999999999,322,765,2018,4615.34,656400.4166269164,3778713406.4045014
170,176,2016-05-30,2016-05-30,1,3542.4,8,1141.44,1675,0,2016,3542.4,503805.31788756384,575063542.0495809
171,177,2016-01-10,2019-08-30,2,2823.38,8,778.9900000000002,488,1328,2016,1411.69,200772.62003407153,156399863.28034142
172,178,2016-01-01,2019-06-24,2,6855.48,15,4646.79,555,1270,2016,3427.74,487498.2047018738,2265301782.6266203
173,179,2016-12-15,2016-12-15,1,5391.96,7,2365.86,1476,0,2016,5391.96,766852.4508347529,1814265539.3319085
174,181,2016-11-06,2020-08-04,6,12729.0,26,6751.020000000001,148,1367,2016,2121.5,301722.83816013625,2036936914.8758435
175,182,2016-04-02,2020-05-25,6,27125.14,34,11493.640000000001,219,1514,2016,4520.856666666667,642962.8585349232,7389983629.371335
176,183,2016-06-25,2016-06-25,1,1026.0,5,775.2,1649,0,2016,1026.0,145919.22316865416,113116581.80034071
177,184,2017-11-15,2020-11-09,2,3268.36,10,1035.7000000000003,51,1090,2017,1634.18,232415.47379897782,240712706.21360138
178,185,2019-05-05,2019-05-05,1,5400.0,6,3420.0,605,0,2019,5400.0,767995.9114139691,2626546017.035774
179,186,2017-01-11,2018-01-06,2,1294.92,8,719.32,1089,360,2017,647.46,92082.70977853492,66236934.797895744
180,187,2017-02-16,2019-04-15,3,6191.07,17,2660.6400000000003,625,788,2017,2063.69,293501.01526405447,780900541.252154
181,188,2016-04-07,2020-10-09,4,5959.52,20,2752.6,82,1646,2016,1489.88,211892.91638841567,583256441.650753
182,189,2016-09-24,2018-02-05,3,13482.1,19,4173.220000000001,1059,499,2016,4494.033333333334,639148.004770017,2667305236.466331
183,191,2016-09-13,2016-09-15,2,6313.92,12,3515.61,1567,2,2016,3156.96,448987.47638841555,1578464861.8658776
184,192,2018-05-02,2020-11-07,4,10084.279999999999,22,3135.88,53,920,2018,2521.0699999999997,358550.26896081766,1124370617.428849
185,193,2018-03-22,2018-03-22,1,1929.2,8,1399.2,1014,0,2018,1929.2,274373.6504258943,383903611.6759113
186,194,2017-11-04,2017-11-04,1,1413.0,5,659.4,1152,0,2017,1413.0,200958.93015332194,132512318.54310048
187,195,2020-11-13,2020-11-13,1,4846.56,6,1580.4000000000003,47,0,2020,4846.56,689284.863781942,1089345798.7209814
188,196,2019-08-13,2019-11-30,2,2406.72,10,788.8,396,109,2019,1203.36,171143.6222146507,134998089.20291647
189,197,2017-07-30,2020-07-20,4,8858.49,21,5823.09,163,1086,2017,2214.6225,314966.85654173756,1834080352.6596267
190,198,2016-05-02,2020-08-23,6,17886.55,34,9676.750000000002,129,1574,2016,2981.0916666666667,423975.2243611583,4102702252.3368397
191,199,2016-03-06,2020-10-19,6,11705.16,29,5963.830000000001,72,1688,2016,1950.86,277454.1673594548,1654689486.9233375
192,200,2016-07-09,2020-07-26,7,12514.49,38,4089.91,157,1478,2016,1787.7842857142857,254261.30035531757,1039905834.9362168
193,201,2019-10-10,2019-10-10,1,1278.9,9,652.5000000000001,447,0,2019,1278.9,181887.03168654174,118681288.1754685
194,202,2018-09-01,2020-03-28,3,10247.84,17,4688.48,277,574,2018,3415.9466666666667,485820.93955706974,2277761758.69453
195,203,2016-02-19,2020-06-27,5,18851.44,35,10161.16,186,1590,2016,3770.2879999999996,536215.8831209538,5448575382.9333105
196,204,2017-08-20,2019-06-29,4,7007.77,13,3235.6000000000004,550,678,2017,1751.9425,249163.8290800681,806194485.3714684
197,205,2016-10-14,2016-10-14,1,298.8,1,189.24,1538,0,2016,298.8,42495.7737649063,8041900.227270869
198,206,2016-10-18,2020-08-16,2,6038.64,10,2997.28,136,1398,2016,3019.32,429412.113935264,1287068340.8558881
199,207,2017-05-16,2020-02-19,5,14109.42,21,5120.18,315,1009,2017,2821.884,401332.4767563883,2054894520.8385246
200,208,2016-03-03,2016-12-19,2,8251.6,10,4060.1000000000004,1472,291,2016,4125.8,586777.3206132877,2382374599.42201
201,209,2016-03-20,2020-02-06,10,16609.72,38,5255.099999999999,328,1418,2016,1660.9720000000002,236225.87129131175,1241390576.2229722
202,210,2016-11-16,2016-11-16,1,526.71,1,217.20000000000005,1505,0,2016,526.71,74909.4678705281,16270336.421478705
203,212,2018-03-21,2020-02-11,3,8911.24,22,3732.6800000000003,323,692,2018,2970.4133333333334,422456.5361499148,1576895063.356064
204,213,2016-11-09,2019-11-09,3,15713.64,19,9148.17,417,1095,2016,5237.88,744938.967495741,6814828314.275513
205,214,2017-02-12,2020-10-26,4,10468.7,22,5075.92,65,1352,2017,2617.175,372218.4628620102,1889351140.0105348
206,215,2016-05-02,2019-02-03,3,7502.57,22,4496.63,696,1007,2016,2500.8566666666666,355675.4990800681,1599341119.4284065
207,216,2018-01-10,2019-06-15,2,1718.92,8,703.3400000000001,564,521,2018,859.46,122233.66037478704,85971822.68800274
208,217,2017-01-19,2020-07-17,5,15770.99,30,8839.71,166,1275,2017,3154.198,448594.6607018738,3965446708.152961
209,218,2016-12-01,2016-12-01,1,1404.1,2,295.5999999999999,1490,0,2016,1404.1,199693.15911413965,59029297.83413966
210,219,2016-03-02,2020-11-30,4,14619.939999999999,31,6864.579999999999,30,1734,2016,3654.9849999999997,519817.32153321966,3568327589.0505085
211,220,2019-09-16,2019-09-16,1,1361.6,4,680.8,471,0,2019,1361.6,193648.74684838156,131836066.85437816
212,221,2018-05-28,2018-05-28,1,3479.04,6,1377.12,947,0,2018,3479.04,494794.16586030653,681390941.6895453
213,222,2017-01-14,2018-07-20,5,12839.75,32,5188.130000000001,894,552,2017,2567.95,365217.6112436115,1894796445.4213185
214,223,2016-02-06,2016-02-06,1,15.52,4,3.3599999999999994,1789,0,2016,15.52,2207.277137989778,7416.451183645653
