,CustomerGender,ProductName,ProductPrice,CostOfGood,ProductCategory,CustomerCountry,CustomerContinent,OrderTime,OrderDay,OrderMonth,QuantitySold,discountPerQuantity,salePrice,OrderYear,ExpectedRevenue,PricePerQuantity,DiscountPercentage,dateOfPurchase
19,Male,Shirt,235.0,159.8,Books,Solomon Islands,Oceania,18:37:00,6,August,7,0.06,1546.3,2017,75.19999999999999,220.9,0.03,6 August 2017
20,Male,Pizza,989.0,474.72,Industrial,Czech Republic,Europe,17:53:00,8,February,10,0.06,9296.6,2020,514.28,929.6600000000001,0.01,8 February 2020
21,Female,Salad,427.0,162.26,Health,Japan,Asia,16:10:00,12,May,4,0.08,1571.36,2018,264.74,392.84,0.02,12 May 2018
22,Female,Car,525.0,168.0,Movies,Peru,South America,22:58:00,1,September,5,0.1,2362.5,2019,357.0,472.5,0.02,1 September 2019
23,Female,Keyboard,317.0,259.94,Kids,Palau,Oceania,20:43:00,13,November,1,0.06,297.98,2017,57.06,297.98,0.02,13 November 2017
24,Female,Tuna,4.0,3.4,Industrial,Curacao,North America,10:11:00,21,August,3,0.07,11.16,2020,0.6000000000000001,3.72,1.75,21 August 2020
25,Female,Sausages,840.0,327.6,Music,Gibraltar,Europe,16:22:00,8,December,8,0.04,6451.2,2016,512.4,806.4,0.0,8 December 2016
26,Female,Chips,90.0,63.0,Grocery,Poland,Europe,15:24:00,7,December,2,0.06,169.2,2016,27.0,84.6,0.07,7 December 2016
27,Female,Hat,117.0,29.25,Tools,Maldives,Asia,19:39:00,22,February,9,0.09,958.23,2020,87.75,106.47,0.08,22 February 2020
28,Female,Cheese,383.0,325.55,Sports,Papua New Guinea,Oceania,20:21:00,9,June,7,0.05,2546.9500000000003,2018,57.44999999999999,363.85,0.01,9 June 2018
29,Female,Sausages,997.0,299.1,Computers,United States Minor Outlying Islands,Oceania,10:25:00,13,August,8,0.06,7497.44,2017,697.9,937.18,0.01,13 August 2017
30,Female,Car,492.0,206.64,Garden,Ukraine,Europe,17:37:00,1,June,5,0.07,2287.8,2019,285.36,457.56000000000006,0.01,1 June 2019
31,Female,Gloves,117.0,37.44,Kids,Sweden,Europe,22:29:00,17,May,1,0.03,113.49,2018,79.56,113.49,0.03,17 May 2018
32,Male,Soap,760.0,516.8,Grocery,Kyrgyzstan,Asia,20:20:00,25,March,5,0.02,3724.0,2018,243.20000000000005,744.8,0.0,25 March 2018
33,Male,Hat,745.0,171.35000000000002,Movies,Croatia,Europe,11:16:00,7,August,8,0.08,5483.2,2020,573.65,685.4,0.01,7 August 2020
34,Male,Keyboard,247.0,125.97,Industrial,Palestinian Territory,Asia,10:21:00,6,December,2,0.08,454.48,2018,121.03,227.24,0.03,6 December 2018
35,Female,Computer,768.0,245.76,Movies,Greenland,North America,23:13:00,26,April,1,0.03,744.96,2020,522.24,744.96,0.0,26 April 2020
36,Male,Computer,996.0,617.52,Tools,Guadeloupe,North America,23:52:00,15,January,10,0.01,9860.4,2020,378.48,986.04,0.0,15 January 2020
37,Female,Bacon,202.0,56.56,Computers,Bermuda,North America,18:12:00,10,March,6,0.07,1127.16,2018,145.44,187.86,0.03,10 March 2018
38,Male,Salad,314.0,160.14,Kids,Syria,Asia,20:46:00,17,April,2,0.07,584.04,2017,153.86,292.02,0.02,17 April 2017
39,Female,Fish,494.0,286.52,Outdoors,Rwanda,Africa,23:20:00,10,June,9,0.1,4001.4,2020,207.48000000000002,444.6,0.02,10 June 2020
40,Female,Cheese,604.0,338.24,Clothing,Israel,Asia,15:32:00,10,January,1,0.05,573.8,2019,265.76,573.8,0.01,10 January 2019
41,Male,Soap,703.0,562.4,Toys,Grenada,North America,18:25:00,28,July,6,0.07,3922.74,2018,140.60000000000002,653.79,0.01,28 July 2018
42,Male,Chips,137.0,72.61,Kids,Russia,Europe,15:16:00,20,August,9,0.1,1109.7,2020,64.39,123.30000000000001,0.07,20 August 2020
43,Male,Chips,789.0,165.69000000000003,Garden,Syria,Asia,17:54:00,20,November,4,0.09,2871.96,2020,623.31,717.99,0.01,20 November 2020
44,Female,Pizza,135.0,93.15,Jewelery,Paraguay,South America,15:30:00,26,June,3,0.1,364.5,2020,41.849999999999994,121.5,0.07,26 June 2020
45,Female,Bacon,421.0,328.38,Beauty,Andorra,Europe,21:47:00,25,October,2,0.07,783.06,2016,92.62,391.53,0.02,25 October 2016
46,Male,Keyboard,879.0,562.56,Automotive,Democratic Republic of the Congo,Africa,10:17:00,28,June,7,0.06,5783.82,2020,316.44000000000005,826.26,0.01,28 June 2020
47,Male,Gloves,362.0,148.42,Kids,Saint Kitts and Nevis,North America,22:59:00,10,December,5,0.1,1629.0,2017,213.58,325.8,0.03,10 December 2017
48,Male,Pants,123.0,92.25,Kids,Chad,Africa,14:16:00,3,December,1,0.06,115.62,2016,30.75,115.62,0.05,3 December 2016
49,Female,Gloves,128.0,43.52,Tools,Central African Republic,Africa,19:51:00,20,June,5,0.03,620.8,2016,84.47999999999999,124.16,0.02,20 June 2016
50,Male,Pizza,246.0,63.96000000000001,Toys,Haiti,North America,22:28:00,8,August,1,0.03,238.62,2018,182.04,238.62,0.01,8 August 2018
51,Female,Chicken,768.0,368.64,Games,Niue,Oceania,19:37:00,2,July,6,0.04,4423.68,2018,399.36,737.2800000000001,0.01,2 July 2018
52,Male,Keyboard,504.0,357.84000000000003,Computers,Uganda,Africa,12:29:00,16,March,6,0.09,2751.84,2017,146.15999999999997,458.64000000000004,0.02,16 March 2017
53,Female,Chicken,1.0,0.74,Kids,Germany,Europe,12:41:00,29,January,3,0.04,2.88,2020,0.26,0.96,4.0,29 January 2020
54,Female,Bike,804.0,184.92,Clothing,Monaco,Europe,10:53:00,11,January,5,0.05,3819.0,2019,619.08,763.8,0.01,11 January 2019
55,Female,Bacon,258.0,147.06,Baby,Madagascar,Africa,20:12:00,3,November,3,0.06,727.5600000000001,2020,110.94,242.52,0.02,3 November 2020
56,Male,Chair,727.0,152.66999999999996,Clothing,Venezuela,South America,11:45:00,13,July,5,0.1,3271.5,2018,574.33,654.3,0.01,13 July 2018
57,Male,Sausages,217.0,43.400000000000006,Electronics,Finland,Europe,11:21:00,29,December,3,0.1,585.9000000000001,2018,173.6,195.30000000000004,0.05,29 December 2018
58,Female,Shirt,104.0,57.2,Books,Libya,Africa,14:27:00,10,February,9,0.03,907.92,2019,46.8,100.88,0.03,10 February 2019
59,Female,Shirt,641.0,435.88,Automotive,Jamaica,North America,13:40:00,9,August,2,0.04,1230.72,2017,205.12,615.36,0.01,9 August 2017
60,Female,Salad,544.0,342.72,Home,South Korea,Asia,10:10:00,9,September,8,0.04,4177.92,2019,201.27999999999997,522.24,0.01,9 September 2019
61,Male,Chair,819.0,262.08000000000004,Toys,Mauritius,Africa,22:36:00,6,December,8,0.05,6224.4,2018,556.92,778.05,0.01,6 December 2018
62,Female,Chips,849.0,314.13,Health,Yemen,Asia,21:32:00,23,September,4,0.06,3192.24,2019,534.87,798.06,0.01,23 September 2019
63,Female,Shirt,669.0,481.68,Baby,Isle of Man,Europe,15:47:00,12,August,9,0.07,5599.53,2019,187.32,622.17,0.01,12 August 2019
64,Male,Bacon,384.0,122.88,Computers,Heard Island and McDonald Islands,Antarctica,15:25:00,12,February,6,0.03,2234.88,2020,261.12,372.48,0.01,12 February 2020
65,Male,Chips,614.0,485.06,Electronics,Antigua and Barbuda,North America,11:12:00,1,December,7,0.01,4255.02,2018,128.94,607.86,0.0,1 December 2018
66,Female,Gloves,838.0,494.42,Sports,Montserrat,North America,10:26:00,18,April,3,0.02,2463.7200000000003,2020,343.58,821.2400000000001,0.0,18 April 2020
67,Male,Chicken,559.0,469.56,Electronics,Brazil,South America,14:53:00,2,September,1,0.02,547.82,2018,89.44,547.82,0.0,2 September 2018
68,Female,Ball,743.0,401.22,Health,Japan,Asia,16:30:00,18,August,7,0.01,5148.990000000001,2016,341.78,735.57,0.0,18 August 2016
69,Female,Computer,761.0,152.20000000000005,Outdoors,Burkina Faso,Africa,23:10:00,11,May,2,0.1,1369.8,2017,608.8,684.9,0.01,11 May 2017
70,Female,Gloves,740.0,266.4,Books,Afghanistan,Asia,21:24:00,20,October,10,0.03,7178.0,2016,473.6,717.8,0.0,20 October 2016
71,Male,Pizza,483.0,313.95,Movies,Hungary,Europe,11:45:00,4,December,7,0.08,3110.52,2018,169.05,444.36,0.02,4 December 2018
72,Female,Mouse,128.0,62.72,Health,Svalbard and Jan Mayen,Europe,13:16:00,9,August,2,0.1,230.4,2017,65.28,115.2,0.08,9 August 2017
73,Male,Shoes,566.0,260.36,Music,Cyprus,Europe,23:51:00,3,November,4,0.01,2241.36,2018,305.64,560.34,0.0,3 November 2018
74,Female,Salad,946.0,425.7000000000001,Grocery,Bahrain,Asia,15:31:00,15,February,10,0.08,8703.199999999999,2016,520.3,870.3199999999999,0.01,15 February 2016
75,Male,Pizza,181.0,153.85,Electronics,Falkland Islands,South America,22:28:00,28,February,2,0.08,333.04,2019,27.150000000000006,166.52,0.04,28 February 2019
76,Male,Soap,854.0,239.12,Music,Slovenia,Europe,20:39:00,29,August,6,0.05,4867.799999999999,2016,614.88,811.2999999999998,0.01,29 August 2016
77,Female,Pizza,731.0,292.4,Books,Burundi,Africa,13:42:00,29,April,1,0.05,694.45,2017,438.6,694.45,0.01,29 April 2017
78,Male,Gloves,298.0,196.68,Books,Austria,Europe,10:33:00,16,November,10,0.08,2741.6000000000004,2020,101.32,274.16,0.03,16 November 2020
79,Male,Shirt,639.0,408.96,Clothing,French Polynesia,Oceania,19:45:00,24,June,7,0.1,4025.7,2020,230.04000000000002,575.1,0.02,24 June 2020
80,Female,Ball,812.0,235.48,Tools,New Zealand,Oceania,20:11:00,3,December,4,0.03,3150.56,2016,576.52,787.64,0.0,3 December 2016
81,Female,Keyboard,277.0,130.19,Sports,Anguilla,North America,14:26:00,9,April,2,0.09,504.14,2020,146.81,252.07,0.03,9 April 2020
82,Male,Sausages,925.0,397.75,Clothing,Puerto Rico,North America,19:48:00,3,April,1,0.03,897.25,2018,527.25,897.25,0.0,3 April 2018
83,Female,Cheese,336.0,131.04,Clothing,United States Minor Outlying Islands,Oceania,10:54:00,11,June,7,0.08,2163.84,2018,204.96,309.12,0.02,11 June 2018
84,Female,Chicken,835.0,450.9,Baby,Saint Barthelemy,North America,14:52:00,5,September,6,0.07,4659.299999999999,2018,384.1,776.5499999999998,0.01,5 September 2018
85,Female,Car,807.0,572.97,Outdoors,Pitcairn,Oceania,20:40:00,3,November,8,0.08,5939.52,2017,234.02999999999997,742.44,0.01,3 November 2017
86,Male,Computer,895.0,483.3,Books,Laos,Asia,10:18:00,24,June,2,0.02,1754.2,2020,411.7,877.1,0.0,24 June 2020
87,Female,Ball,613.0,171.64,Outdoors,Aruba,North America,23:19:00,12,June,6,0.04,3530.88,2016,441.36,588.48,0.01,12 June 2016
88,Male,Chips,323.0,200.26,Beauty,Rwanda,Africa,11:17:00,21,November,10,0.08,2971.6000000000004,2019,122.74000000000001,297.16,0.02,21 November 2019
89,Male,Chicken,860.0,705.2,Jewelery,Isle of Man,Europe,15:45:00,21,December,7,0.1,5418.0,2020,154.79999999999995,774.0,0.01,21 December 2020
90,Female,Pizza,749.0,269.64,Health,Finland,Europe,18:27:00,16,August,9,0.03,6538.77,2019,479.36,726.5300000000001,0.0,16 August 2019
91,Male,Sausages,665.0,385.7,Industrial,Belarus,Europe,23:20:00,26,August,4,0.07,2473.8,2018,279.3,618.45,0.01,26 August 2018
92,Female,Shirt,331.0,225.08,Games,Bolivia,South America,19:44:00,7,April,7,0.08,2131.64,2016,105.91999999999999,304.52,0.02,7 April 2016
93,Male,Hat,673.0,349.96,Games,Martinique,North America,22:59:00,20,September,6,0.05,3836.1,2017,323.04,639.35,0.01,20 September 2017
94,Male,Car,863.0,319.30999999999995,Home,Central African Republic,Africa,23:46:00,23,March,7,0.08,5557.72,2020,543.69,793.96,0.01,23 March 2020
95,Male,Shirt,386.0,115.8,Baby,Nepal,Asia,22:12:00,20,June,6,0.06,2177.04,2017,270.2,362.84,0.02,20 June 2017
96,Female,Chips,851.0,527.62,Grocery,Equatorial Guinea,Africa,22:56:00,6,August,2,0.08,1565.84,2018,323.38,782.92,0.01,6 August 2018
97,Male,Tuna,968.0,358.16,Computers,Belgium,Europe,11:25:00,21,July,1,0.08,890.56,2018,609.8399999999999,890.56,0.01,21 July 2018
98,Female,Fish,929.0,195.09000000000003,Industrial,Germany,Europe,19:56:00,5,January,2,0.04,1783.68,2016,733.91,891.84,0.0,5 January 2016
99,Male,Gloves,244.0,126.88,Clothing,Eritrea,Africa,16:55:00,2,February,10,0.09,2220.4,2018,117.12,222.04000000000002,0.04,2 February 2018
100,Female,Shoes,312.0,134.16,Garden,New Zealand,Oceania,20:21:00,4,September,1,0.01,308.88,2019,177.84,308.88,0.0,4 September 2019
101,Female,Chair,462.0,258.72,Computers,Gibraltar,Europe,13:35:00,13,November,3,0.05,1316.6999999999998,2016,203.27999999999997,438.8999999999999,0.01,13 November 2016
102,Male,Fish,977.0,429.88,Automotive,South Korea,Asia,11:32:00,23,October,9,0.08,8089.56,2019,547.12,898.84,0.01,23 October 2019
103,Female,Towels,64.0,53.12,Movies,Northern Mariana Islands,Oceania,20:40:00,20,July,10,0.01,633.6,2017,10.880000000000003,63.36,0.02,20 July 2017
104,Female,Salad,542.0,124.66000000000004,Health,Belize,North America,17:32:00,22,December,2,0.07,1008.12,2016,417.34,504.06,0.01,22 December 2016
105,Female,Keyboard,405.0,210.6,Shoes,Indonesia,Asia,17:54:00,28,January,1,0.09,368.55,2016,194.4,368.55,0.02,28 January 2016
106,Male,Pants,19.0,12.54,Music,Costa Rica,North America,15:43:00,24,November,10,0.02,186.2,2020,6.460000000000001,18.619999999999997,0.11,24 November 2020
107,Female,Bike,165.0,37.95,Kids,Tonga,Oceania,13:29:00,9,August,7,0.06,1085.7,2016,127.05,155.1,0.04,9 August 2016
108,Male,Cheese,195.0,99.45,Kids,U.S. Virgin Islands,North America,12:28:00,17,June,1,0.01,193.05,2016,95.55,193.05,0.01,17 June 2016
109,Female,Pizza,966.0,463.68,Movies,El Salvador,North America,14:31:00,26,June,1,0.05,917.7,2018,502.32,917.7,0.01,26 June 2018
110,Male,Ball,429.0,214.5,Baby,Vietnam,Asia,14:44:00,18,May,8,0.05,3260.4,2018,214.5,407.55,0.01,18 May 2018
111,Female,Pants,170.0,34.0,Home,Israel,Asia,19:39:00,30,April,1,0.02,166.6,2020,136.0,166.6,0.01,30 April 2020
112,Male,Mouse,644.0,167.44,Sports,Malta,Europe,15:21:00,8,April,1,0.04,618.24,2019,476.56,618.24,0.01,8 April 2019
113,Female,Table,404.0,327.24,Electronics,Dominican Republic,North America,15:25:00,10,December,5,0.03,1959.4,2017,76.75999999999999,391.88,0.01,10 December 2017
114,Female,Keyboard,177.0,120.36,Books,Malawi,Africa,15:46:00,30,October,4,0.07,658.44,2019,56.64,164.61,0.04,30 October 2019
115,Female,Mouse,103.0,70.03999999999999,Music,Cambodia,Asia,12:43:00,15,March,3,0.06,290.46,2017,32.96000000000001,96.82,0.06,15 March 2017
116,Female,Tuna,43.0,19.78,Clothing,Senegal,Africa,18:24:00,9,October,3,0.05,122.55,2019,23.22,40.85,0.12,9 October 2019
117,Male,Keyboard,818.0,392.64,Garden,Nepal,Asia,23:18:00,13,August,7,0.07,5325.18,2017,425.36,760.74,0.01,13 August 2017
118,Male,Fish,470.0,352.5,Garden,Reunion,Africa,23:55:00,19,November,7,0.1,2961.0,2020,117.5,423.0,0.02,19 November 2020
119,Male,Mouse,813.0,178.86,Home,Indonesia,Asia,17:44:00,30,February,7,0.08,5235.72,2019,634.14,747.96,0.01,30 February 2019
120,Female,Bacon,748.0,426.36,Computers,Anguilla,North America,10:36:00,17,April,3,0.04,2154.24,2018,321.64,718.0799999999999,0.01,17 April 2018
121,Male,Cheese,634.0,437.46,Jewelery,Curacao,North America,16:39:00,11,April,3,0.07,1768.86,2020,196.54000000000002,589.62,0.01,11 April 2020
122,Female,Computer,468.0,299.52,Clothing,Turks and Caicos Islands,North America,10:22:00,7,September,1,0.07,435.24,2018,168.48000000000002,435.24,0.01,7 September 2018
123,Male,Shoes,153.0,116.28,Movies,Serbia,Europe,16:50:00,15,April,7,0.1,963.9,2019,36.72,137.7,0.07,15 April 2019
124,Female,Gloves,257.0,215.88,Computers,Nauru,Oceania,17:25:00,25,March,6,0.05,1464.9,2016,41.120000000000005,244.15,0.02,25 March 2016
125,Female,Shoes,336.0,100.8,Kids,North Korea,Asia,15:36:00,6,March,9,0.02,2963.5199999999995,2017,235.2,329.28,0.01,6 March 2017
126,Male,Ball,443.0,248.08,Health,Mauritania,Africa,11:13:00,28,February,5,0.02,2170.7,2016,194.92,434.14,0.0,28 February 2016
127,Female,Table,866.0,623.52,Automotive,Oman,Asia,12:42:00,3,August,9,0.03,7560.18,2020,242.48000000000002,840.02,0.0,3 August 2020
128,Male,Gloves,981.0,716.13,Music,Liechtenstein,Europe,11:16:00,26,December,3,0.04,2825.28,2016,264.87,941.7600000000001,0.0,26 December 2016
129,Male,Hat,655.0,150.64999999999998,Jewelery,Eritrea,Africa,12:43:00,1,December,2,0.05,1244.5,2016,504.35,622.25,0.01,1 December 2016
130,Female,Hat,387.0,216.72,Industrial,U.S. Virgin Islands,North America,15:30:00,24,April,9,0.01,3448.17,2019,170.28,383.13,0.0,24 April 2019
131,Male,Soap,980.0,264.6,Books,Barbados,North America,10:14:00,8,February,6,0.05,5586.0,2018,715.4,931.0,0.01,8 February 2018
132,Female,Table,536.0,144.72000000000003,Sports,Tajikistan,Asia,11:49:00,16,November,9,0.08,4438.08,2018,391.28,493.12,0.01,16 November 2018
133,Male,Shoes,226.0,63.28,Outdoors,Georgia,Asia,12:34:00,10,January,4,0.08,831.68,2018,162.72,207.92,0.04,10 January 2018
134,Female,Computer,959.0,776.79,Books,Malta,Europe,16:50:00,16,July,3,0.01,2848.23,2019,182.21000000000004,949.41,0.0,16 July 2019
135,Female,Mouse,891.0,258.39,Garden,British Virgin Islands,North America,23:30:00,26,July,9,0.09,7297.289999999999,2017,632.61,810.81,0.01,26 July 2017
136,Female,Chair,378.0,238.14,Movies,Vanuatu,Oceania,14:54:00,26,February,1,0.06,355.32,2017,139.86,355.32,0.02,26 February 2017
137,Male,Chicken,160.0,83.2,Jewelery,Antigua and Barbuda,North America,13:12:00,30,March,5,0.01,792.0,2020,76.8,158.4,0.01,30 March 2020
138,Female,Car,24.0,18.24,Books,Greenland,North America,16:50:00,26,July,9,0.02,211.68,2017,5.760000000000002,23.52,0.08,26 July 2017
139,Female,Hat,992.0,486.08,Toys,Tajikistan,Asia,11:25:00,3,June,9,0.01,8838.720000000001,2019,505.92,982.0800000000002,0.0,3 June 2019
140,Female,Pizza,622.0,180.38,Computers,Macao,Asia,12:22:00,29,December,5,0.01,3078.9,2018,441.62,615.78,0.0,29 December 2018
141,Female,Cheese,642.0,346.68,Shoes,Dominica,North America,18:36:00,24,November,4,0.03,2490.96,2020,295.32,622.74,0.0,24 November 2020
142,Male,Bike,952.0,694.96,Grocery,Guadeloupe,North America,16:19:00,4,January,1,0.01,942.48,2018,257.03999999999996,942.48,0.0,4 January 2018
143,Female,Sausages,412.0,222.48,Tools,Mauritania,Africa,20:45:00,14,June,9,0.1,3337.2000000000003,2019,189.52,370.8,0.02,14 June 2019
144,Female,Shirt,625.0,243.75,Movies,Japan,Asia,15:38:00,17,November,8,0.05,4750.0,2020,381.25,593.75,0.01,17 November 2020
145,Female,Mouse,684.0,506.16,Games,Finland,Europe,21:51:00,13,May,8,0.05,5198.4,2019,177.83999999999997,649.8,0.01,13 May 2019
146,Male,Towels,401.0,112.27999999999996,Grocery,Saint Barthelemy,North America,19:29:00,15,May,8,0.09,2919.28,2019,288.72,364.91,0.02,15 May 2019
147,Female,Ball,709.0,397.04,Health,Eritrea,Africa,15:44:00,4,September,1,0.05,673.55,2020,311.96,673.55,0.01,4 September 2020
148,Male,Computer,134.0,81.74000000000001,Sports,Guinea-Bissau,Africa,21:25:00,14,May,5,0.01,663.3,2016,52.25999999999999,132.66,0.01,14 May 2016
149,Female,Pants,872.0,244.16,Movies,Madagascar,Africa,17:46:00,1,June,6,0.06,4918.08,2017,627.84,819.68,0.01,1 June 2017
150,Female,Car,545.0,190.75,Home,New Caledonia,Oceania,23:53:00,18,April,4,0.08,2005.6,2020,354.25,501.4,0.01,18 April 2020
151,Female,Cheese,101.0,72.72,Games,Belize,North America,12:30:00,4,February,1,0.05,95.95,2016,28.28,95.95,0.05,4 February 2016
152,Female,Soap,232.0,48.72,Industrial,Bahamas,North America,23:40:00,21,June,9,0.08,1920.96,2016,183.28,213.44,0.03,21 June 2016
153,Male,Fish,267.0,160.2,Garden,New Zealand,Oceania,13:25:00,8,July,10,0.1,2403.0,2020,106.80000000000001,240.3,0.04,8 July 2020
154,Male,Chicken,507.0,268.71000000000004,Music,Fiji,Oceania,19:52:00,8,December,10,0.02,4968.6,2016,238.28999999999996,496.86,0.0,8 December 2016
155,Male,Gloves,337.0,124.69,Toys,Israel,Asia,21:51:00,7,August,10,0.01,3336.3,2017,212.31,333.63,0.0,7 August 2017
156,Male,Shirt,929.0,287.99,Automotive,Micronesia,Oceania,21:28:00,25,December,3,0.05,2647.65,2020,641.01,882.5500000000001,0.01,25 December 2020
157,Male,Chicken,42.0,12.6,Sports,Bhutan,Asia,12:40:00,4,August,7,0.09,267.54,2018,29.4,38.220000000000006,0.21,4 August 2018
158,Female,Towels,286.0,237.38,Computers,Qatar,Asia,18:24:00,9,March,5,0.05,1358.5,2016,48.620000000000005,271.7,0.02,9 March 2016
159,Male,Pants,224.0,172.48,Computers,Laos,Asia,14:17:00,23,April,10,0.07,2083.2,2020,51.52000000000001,208.32,0.03,23 April 2020
160,Male,Towels,770.0,569.8,Home,Nigeria,Africa,14:24:00,4,September,7,0.06,5066.599999999999,2018,200.20000000000005,723.8,0.01,4 September 2018
161,Female,Pizza,169.0,113.23,Shoes,Chad,Africa,18:45:00,13,November,3,0.09,461.37,2019,55.769999999999996,153.79,0.05,13 November 2019
162,Male,Ball,391.0,297.16,Toys,Hong Kong,Asia,20:23:00,23,September,10,0.08,3597.2000000000003,2018,93.83999999999997,359.72,0.02,23 September 2018
163,Female,Sausages,122.0,81.74000000000001,Shoes,Japan,Asia,17:15:00,3,June,5,0.1,549.0,2017,40.25999999999999,109.8,0.08,3 June 2017
164,Female,Pizza,435.0,261.0,Baby,French Southern Territories,Antarctica,15:54:00,17,June,3,0.1,1174.5,2018,174.0,391.5,0.02,17 June 2018
165,Male,Table,929.0,538.8199999999999,Industrial,Sao Tome and Principe,Africa,21:23:00,20,July,10,0.03,9011.3,2020,390.18000000000006,901.1299999999999,0.0,20 July 2020
166,Male,Hat,671.0,382.47,Clothing,Turkey,Asia,20:47:00,26,June,6,0.02,3945.480000000001,2020,288.53,657.5800000000002,0.0,26 June 2020
167,Male,Chicken,404.0,298.96,Grocery,Guernsey,Europe,12:23:00,16,April,5,0.08,1858.4,2016,105.04000000000002,371.68,0.02,16 April 2016
168,Male,Car,677.0,162.48000000000002,Clothing,Burundi,Africa,19:22:00,4,October,9,0.05,5788.349999999999,2019,514.52,643.15,0.01,4 October 2019
169,Female,Chair,211.0,139.26,Industrial,Netherlands,Europe,16:23:00,10,July,2,0.01,417.78,2017,71.74000000000001,208.89,0.0,10 July 2017
170,Male,Table,358.0,221.96,Beauty,Samoa,Oceania,22:57:00,7,April,1,0.05,340.1,2020,136.04,340.1,0.01,7 April 2020
171,Female,Salad,126.0,88.2,Computers,Benin,Africa,18:55:00,27,August,5,0.05,598.5,2019,37.8,119.7,0.04,27 August 2019
172,Female,Car,947.0,464.03,Sports,Malaysia,Asia,13:29:00,24,May,1,0.03,918.59,2019,482.97,918.59,0.0,24 May 2019
173,Male,Fish,12.0,3.3599999999999994,Kids,Pakistan,Asia,14:18:00,13,February,5,0.09,54.6,2019,8.64,10.92,0.75,13 February 2019
174,Male,Car,98.0,30.379999999999995,Toys,Switzerland,Europe,12:19:00,10,January,9,0.07,820.26,2019,67.62,91.14,0.07,10 January 2019
175,Male,Gloves,271.0,92.14,Tools,Equatorial Guinea,Africa,22:30:00,12,February,10,0.04,2601.6000000000004,2016,178.86,260.16,0.01,12 February 2016
176,Male,Chair,742.0,511.98,Shoes,Slovenia,Europe,16:39:00,20,January,2,0.08,1365.28,2017,230.01999999999998,682.64,0.01,20 January 2017
